feature,importance
num_words,18
svd_word_10,16
svd_word_7,13
nb_cvec_1,13
svd_char_8,12
svd_char_11,12
svd_word_14,10
svd_word_0,10
svd_word_12,8
svd_char_3,7
svd_char_7,7
svd_char_13,7
num_chars,7
svd_word_9,7
svd_char_4,7
svd_char_10,6
svd_word_18,6
svd_word_2,6
num_stopwords,6
svd_word_3,5
svd_word_8,4
nb_cvec_0,4
svd_char_19,4
svd_char_6,4
svd_word_16,3
svd_word_11,3
svd_char_0,3
svd_word_4,3
svd_char_12,3
num_unique_words,3
nb_tfidf_char_0,3
svd_char_16,3
svd_word_13,2
nb_cvec_char_0,2
svd_word_15,2
svd_char_15,2
svd_word_5,1
mean_word_len,1
num_words_upper,1
svd_word_1,1
svd_char_2,1
num_words_title,1
svd_char_17,1
nb_tfidf_char_1,1
svd_word_17,1
nb_tfidf_word_1,1
svd_char_18,1
nb_cvec_char_1,1
svd_char_9,1
svd_char_5,1
